ecoli,ph,do,flow,a_t,w_t,turb
1.730782276,7.92,7.6,0.05,17.1,18,1.187520721
1.830588669,8.08,7.23,0.15,28.6,20.2,1.311753861
2.124830149,8.03,6.43,0.1,24,22.4,1.691081492
3.397940009,7.72,7.57,NA,20.4,14.5,1.930439595
3.298044843,8.15,7.64,0,23.1,17.5,0.948901761
2.911902996,8.22,8.05,0.1,26.7,18.6,0.838849091
2.991403303,8.33,9.44,0.6,23.9,24.2,0.746634199
2.058805487,8.58,10.37,0.9,23.5,20.8,1.025305865
2.836767047,8.24,8.86,0.9,20.8,16.4,0.804139432
1.787460475,8.32,10.44,0.3,23.2,19.4,0.176091259
2.267171728,8.37,9.52,0.2,20.3,22,0.025305865
2.219584526,NA,8.8,0.2,24.5,22.5,0.697229343
2.210586025,7.99,7.38,0.06,26.4,24.1,0.828659897
2.688775655,8.21,10.57,0.2,6,6.3,1.348304863
2.325104983,7.69,6.84,0.3,16.7,16,0.305351369
2.41713941,8.05,8.13,0.2,21.5,15.5,0.6599162
2.537567257,8.2,7.61,0.1,19.5,18.2,0.890979597
2.304059466,7.77,8.46,NA,15.5,13.6,0.51054501
2.310905629,7.88,6.8,0.2,20,18.8,0.700703717
1.843232778,7.61,9.33,0.1,20.7,13.2,0.064457989
2.415474168,7.33,8.77,0.05,21.5,12.3,0.334453751
1.994756945,7.86,10.28,0.1,24.2,14.5,0.056904851
